LOSS_INDEX,FIELD_INDEX,NDBP_INDEX,NG_INDEX,SEED
0,0,0,0,420
0,0,0,0,67
0,0,0,1,420
0,0,0,1,67
0,0,0,2,420
0,0,0,2,67
0,0,1,0,420
0,0,1,0,67
0,0,1,1,420
0,0,1,1,67
0,0,1,2,420
0,0,1,2,67
0,0,2,0,420
0,0,2,0,67
0,0,2,1,420
0,0,2,1,67
0,0,2,2,420
0,0,2,2,67
0,1,0,0,420
0,1,0,0,67
0,1,0,1,420
0,1,0,1,67
0,1,0,2,420
0,1,0,2,67
0,1,1,0,420
0,1,1,0,67
0,1,1,1,420
0,1,1,1,67
0,1,1,2,420
0,1,1,2,67
0,1,2,0,420
0,1,2,0,67
0,1,2,1,420
0,1,2,1,67
0,1,2,2,420
0,1,2,2,67
0,2,0,0,420
0,2,0,0,67
0,2,0,1,420
0,2,0,1,67
0,2,0,2,420
0,2,0,2,67
0,2,1,0,420
0,2,1,0,67
0,2,1,1,420
0,2,1,1,67
0,2,1,2,420
0,2,1,2,67
0,2,2,0,420
0,2,2,0,67
0,2,2,1,420
0,2,2,1,67
0,2,2,2,420
0,2,2,2,67
0,3,0,0,420
0,3,0,0,67
0,3,0,1,420
0,3,0,1,67
0,3,0,2,420
0,3,0,2,67
0,3,1,0,420
0,3,1,0,67
0,3,1,1,420
0,3,1,1,67
0,3,1,2,420
0,3,1,2,67
0,3,2,0,420
0,3,2,0,67
0,3,2,1,420
0,3,2,1,67
0,3,2,2,420
0,3,2,2,67
0,4,0,0,420
0,4,0,0,67
0,4,0,1,420
0,4,0,1,67
0,4,0,2,420
0,4,0,2,67
0,4,1,0,420
0,4,1,0,67
0,4,1,1,420
0,4,1,1,67
0,4,1,2,420
0,4,1,2,67
0,4,2,0,420
0,4,2,0,67
0,4,2,1,420
0,4,2,1,67
0,4,2,2,420
0,4,2,2,67
1,0,0,0,420
1,0,0,0,67
1,0,0,1,420
1,0,0,1,67
1,0,0,2,420
1,0,0,2,67
1,0,1,0,420
1,0,1,0,67
1,0,1,1,420
1,0,1,1,67
1,0,1,2,420
1,0,1,2,67
1,0,2,0,420
1,0,2,0,67
1,0,2,1,420
1,0,2,1,67
1,0,2,2,420
1,0,2,2,67
1,1,0,0,420
1,1,0,0,67
1,1,0,1,420
1,1,0,1,67
1,1,0,2,420
1,1,0,2,67
1,1,1,0,420
1,1,1,0,67
1,1,1,1,420
1,1,1,1,67
1,1,1,2,420
1,1,1,2,67
1,1,2,0,420
1,1,2,0,67
1,1,2,1,420
1,1,2,1,67
1,1,2,2,420
1,1,2,2,67
1,2,0,0,420
1,2,0,0,67
1,2,0,1,420
1,2,0,1,67
1,2,0,2,420
1,2,0,2,67
1,2,1,0,420
1,2,1,0,67
1,2,1,1,420
1,2,1,1,67
1,2,1,2,420
1,2,1,2,67
1,2,2,0,420
1,2,2,0,67
1,2,2,1,420
1,2,2,1,67
1,2,2,2,420
1,2,2,2,67
1,3,0,0,420
1,3,0,0,67
1,3,0,1,420
1,3,0,1,67
1,3,0,2,420
1,3,0,2,67
1,3,1,0,420
1,3,1,0,67
1,3,1,1,420
1,3,1,1,67
1,3,1,2,420
1,3,1,2,67
1,3,2,0,420
1,3,2,0,67
1,3,2,1,420
1,3,2,1,67
1,3,2,2,420
1,3,2,2,67
1,4,0,0,420
1,4,0,0,67
1,4,0,1,420
1,4,0,1,67
1,4,0,2,420
1,4,0,2,67
1,4,1,0,420
1,4,1,0,67
1,4,1,1,420
1,4,1,1,67
1,4,1,2,420
1,4,1,2,67
1,4,2,0,420
1,4,2,0,67
1,4,2,1,420
1,4,2,1,67
1,4,2,2,420
1,4,2,2,67
2,0,0,0,420
2,0,0,0,67
2,0,0,1,420
2,0,0,1,67
2,0,0,2,420
2,0,0,2,67
2,0,1,0,420
2,0,1,0,67
2,0,1,1,420
2,0,1,1,67
2,0,1,2,420
2,0,1,2,67
2,0,2,0,420
2,0,2,0,67
2,0,2,1,420
2,0,2,1,67
2,0,2,2,420
2,0,2,2,67
2,1,0,0,420
2,1,0,0,67
2,1,0,1,420
2,1,0,1,67
2,1,0,2,420
2,1,0,2,67
2,1,1,0,420
2,1,1,0,67
2,1,1,1,420
2,1,1,1,67
2,1,1,2,420
2,1,1,2,67
2,1,2,0,420
2,1,2,0,67
2,1,2,1,420
2,1,2,1,67
2,1,2,2,420
2,1,2,2,67
2,2,0,0,420
2,2,0,0,67
2,2,0,1,420
2,2,0,1,67
2,2,0,2,420
2,2,0,2,67
2,2,1,0,420
2,2,1,0,67
2,2,1,1,420
2,2,1,1,67
2,2,1,2,420
2,2,1,2,67
2,2,2,0,420
2,2,2,0,67
2,2,2,1,420
2,2,2,1,67
2,2,2,2,420
2,2,2,2,67
2,3,0,0,420
2,3,0,0,67
2,3,0,1,420
2,3,0,1,67
2,3,0,2,420
2,3,0,2,67
2,3,1,0,420
2,3,1,0,67
2,3,1,1,420
2,3,1,1,67
2,3,1,2,420
2,3,1,2,67
2,3,2,0,420
2,3,2,0,67
2,3,2,1,420
2,3,2,1,67
2,3,2,2,420
2,3,2,2,67
2,4,0,0,420
2,4,0,0,67
2,4,0,1,420
2,4,0,1,67
2,4,0,2,420
2,4,0,2,67
2,4,1,0,420
2,4,1,0,67
2,4,1,1,420
2,4,1,1,67
2,4,1,2,420
2,4,1,2,67
2,4,2,0,420
2,4,2,0,67
2,4,2,1,420
2,4,2,1,67
2,4,2,2,420
2,4,2,2,67
3,0,0,0,420
3,0,0,0,67
3,0,0,1,420
3,0,0,1,67
3,0,0,2,420
3,0,0,2,67
3,0,1,0,420
3,0,1,0,67
3,0,1,1,420
3,0,1,1,67
3,0,1,2,420
3,0,1,2,67
3,0,2,0,420
3,0,2,0,67
3,0,2,1,420
3,0,2,1,67
3,0,2,2,420
3,0,2,2,67
3,1,0,0,420
3,1,0,0,67
3,1,0,1,420
3,1,0,1,67
3,1,0,2,420
3,1,0,2,67
3,1,1,0,420
3,1,1,0,67
3,1,1,1,420
3,1,1,1,67
3,1,1,2,420
3,1,1,2,67
3,1,2,0,420
3,1,2,0,67
3,1,2,1,420
3,1,2,1,67
3,1,2,2,420
3,1,2,2,67
3,2,0,0,420
3,2,0,0,67
3,2,0,1,420
3,2,0,1,67
3,2,0,2,420
3,2,0,2,67
3,2,1,0,420
3,2,1,0,67
3,2,1,1,420
3,2,1,1,67
3,2,1,2,420
3,2,1,2,67
3,2,2,0,420
3,2,2,0,67
3,2,2,1,420
3,2,2,1,67
3,2,2,2,420
3,2,2,2,67
3,3,0,0,420
3,3,0,0,67
3,3,0,1,420
3,3,0,1,67
3,3,0,2,420
3,3,0,2,67
3,3,1,0,420
3,3,1,0,67
