LOSS_INDEX,NDBP_INDEX,NG_INDEX,SEED
0,0,0,1
0,0,0,42
0,0,0,67
0,0,0,69
0,0,1,1
0,0,1,42
0,0,1,67
0,0,1,69
0,0,2,1
0,0,2,42
0,0,2,67
0,0,2,69
0,0,3,1
0,0,3,42
0,0,3,67
0,0,3,69
0,0,4,1
0,0,4,42
0,0,4,67
0,0,4,69
0,0,5,1
0,0,5,42
0,0,5,67
0,0,5,69
0,0,6,1
0,0,6,42
0,0,6,67
0,0,6,69
0,0,7,1
0,0,7,42
0,0,7,67
0,0,7,69
0,0,8,1
0,0,8,42
0,0,8,67
0,0,8,69
0,0,9,1
0,0,9,42
0,0,9,67
0,0,9,69
0,0,10,1
0,0,10,42
0,0,10,67
0,0,10,69
0,1,0,1
0,1,0,42
0,1,0,67
0,1,0,69
0,1,1,1
0,1,1,42
0,1,1,67
0,1,1,69
0,1,2,1
0,1,2,42
0,1,2,67
0,1,2,69
0,1,3,1
0,1,3,42
0,1,3,67
0,1,3,69
0,1,4,1
0,1,4,42
0,1,4,67
0,1,4,69
0,1,5,1
0,1,5,42
0,1,5,67
0,1,5,69
0,1,6,1
0,1,6,42
0,1,6,67
0,1,6,69
0,1,7,1
0,1,7,42
0,1,7,67
0,1,7,69
0,1,8,1
0,1,8,42
0,1,8,67
0,1,8,69
0,1,9,1
0,1,9,42
0,1,9,67
0,1,9,69
0,1,10,1
0,1,10,42
0,1,10,67
0,1,10,69
0,2,0,1
0,2,0,42
0,2,0,67
0,2,0,69
0,2,1,1
0,2,1,42
0,2,1,67
0,2,1,69
0,2,2,1
0,2,2,42
0,2,2,67
0,2,2,69
0,2,3,1
0,2,3,42
0,2,3,67
0,2,3,69
0,2,4,1
0,2,4,42
0,2,4,67
0,2,4,69
0,2,5,1
0,2,5,42
0,2,5,67
0,2,5,69
0,2,6,1
0,2,6,42
0,2,6,67
0,2,6,69
0,2,7,1
0,2,7,42
0,2,7,67
0,2,7,69
0,2,8,1
0,2,8,42
0,2,8,67
0,2,8,69
0,2,9,1
0,2,9,42
0,2,9,67
0,2,9,69
0,2,10,1
0,2,10,42
0,2,10,67
0,2,10,69
0,3,0,1
0,3,0,42
0,3,0,67
0,3,0,69
0,3,1,1
0,3,1,42
0,3,1,67
0,3,1,69
0,3,2,1
0,3,2,42
0,3,2,67
0,3,2,69
0,3,3,1
0,3,3,42
0,3,3,67
0,3,3,69
0,3,4,1
0,3,4,42
0,3,4,67
0,3,4,69
0,3,5,1
0,3,5,42
0,3,5,67
0,3,5,69
0,3,6,1
0,3,6,42
0,3,6,67
0,3,6,69
0,3,7,1
0,3,7,42
0,3,7,67
0,3,7,69
0,3,8,1
0,3,8,42
0,3,8,67
0,3,8,69
0,3,9,1
0,3,9,42
0,3,9,67
0,3,9,69
0,3,10,1
0,3,10,42
0,3,10,67
0,3,10,69
0,4,0,1
0,4,0,42
0,4,0,67
0,4,0,69
0,4,1,1
0,4,1,42
0,4,1,67
0,4,1,69
0,4,2,1
0,4,2,42
0,4,2,67
0,4,2,69
0,4,3,1
0,4,3,42
0,4,3,67
0,4,3,69
0,4,4,1
0,4,4,42
0,4,4,67
0,4,4,69
0,4,5,1
0,4,5,42
0,4,5,67
0,4,5,69
0,4,6,1
0,4,6,42
0,4,6,67
0,4,6,69
0,4,7,1
0,4,7,42
0,4,7,67
0,4,7,69
0,4,8,1
0,4,8,42
0,4,8,67
0,4,8,69
0,4,9,1
0,4,9,42
0,4,9,67
0,4,9,69
0,4,10,1
0,4,10,42
0,4,10,67
0,4,10,69
1,0,0,1
1,0,0,42
1,0,0,67
1,0,0,69
1,0,1,1
1,0,1,42
1,0,1,67
1,0,1,69
1,0,2,1
1,0,2,42
1,0,2,67
1,0,2,69
1,0,3,1
1,0,3,42
1,0,3,67
1,0,3,69
1,0,4,1
1,0,4,42
1,0,4,67
1,0,4,69
1,0,5,1
1,0,5,42
1,0,5,67
1,0,5,69
1,0,6,1
1,0,6,42
1,0,6,67
1,0,6,69
1,0,7,1
1,0,7,42
1,0,7,67
1,0,7,69
1,0,8,1
1,0,8,42
1,0,8,67
1,0,8,69
1,0,9,1
1,0,9,42
1,0,9,67
1,0,9,69
1,0,10,1
1,0,10,42
1,0,10,67
1,0,10,69
1,1,0,1
1,1,0,42
1,1,0,67
1,1,0,69
1,1,1,1
1,1,1,42
1,1,1,67
1,1,1,69
1,1,2,1
1,1,2,42
1,1,2,67
1,1,2,69
1,1,3,1
1,1,3,42
1,1,3,67
1,1,3,69
1,1,4,1
1,1,4,42
1,1,4,67
1,1,4,69
1,1,5,1
1,1,5,42
1,1,5,67
1,1,5,69
1,1,6,1
1,1,6,42
1,1,6,67
1,1,6,69
1,1,7,1
1,1,7,42
1,1,7,67
1,1,7,69
1,1,8,1
1,1,8,42
1,1,8,67
1,1,8,69
1,1,9,1
1,1,9,42
1,1,9,67
1,1,9,69
1,1,10,1
1,1,10,42
1,1,10,67
1,1,10,69
1,2,0,1
1,2,0,42
1,2,0,67
1,2,0,69
1,2,1,1
1,2,1,42
1,2,1,67
1,2,1,69
1,2,2,1
1,2,2,42
1,2,2,67
1,2,2,69
1,2,3,1
1,2,3,42
1,2,3,67
1,2,3,69
1,2,4,1
1,2,4,42
1,2,4,67
1,2,4,69
1,2,5,1
1,2,5,42
1,2,5,67
1,2,5,69
1,2,6,1
1,2,6,42
1,2,6,67
1,2,6,69
1,2,7,1
1,2,7,42
1,2,7,67
1,2,7,69
1,2,8,1
1,2,8,42
1,2,8,67
1,2,8,69
1,2,9,1
1,2,9,42
1,2,9,67
1,2,9,69
1,2,10,1
1,2,10,42
1,2,10,67
1,2,10,69
1,3,0,1
1,3,0,42
1,3,0,67
1,3,0,69
1,3,1,1
1,3,1,42
1,3,1,67
1,3,1,69
1,3,2,1
1,3,2,42
1,3,2,67
1,3,2,69
1,3,3,1
1,3,3,42
1,3,3,67
1,3,3,69
1,3,4,1
1,3,4,42
1,3,4,67
1,3,4,69
1,3,5,1
1,3,5,42
1,3,5,67
1,3,5,69
1,3,6,1
1,3,6,42
1,3,6,67
1,3,6,69
1,3,7,1
1,3,7,42
1,3,7,67
1,3,7,69
1,3,8,1
1,3,8,42
1,3,8,67
1,3,8,69
1,3,9,1
1,3,9,42
1,3,9,67
1,3,9,69
1,3,10,1
1,3,10,42
1,3,10,67
1,3,10,69
1,4,0,1
1,4,0,42
1,4,0,67
1,4,0,69
1,4,1,1
1,4,1,42
1,4,1,67
1,4,1,69
1,4,2,1
1,4,2,42
1,4,2,67
1,4,2,69
1,4,3,1
1,4,3,42
1,4,3,67
1,4,3,69
1,4,4,1
1,4,4,42
1,4,4,67
1,4,4,69
1,4,5,1
1,4,5,42
1,4,5,67
1,4,5,69
1,4,6,1
1,4,6,42
1,4,6,67
1,4,6,69
1,4,7,1
1,4,7,42
1,4,7,67
1,4,7,69
1,4,8,1
1,4,8,42
1,4,8,67
1,4,8,69
1,4,9,1
1,4,9,42
1,4,9,67
1,4,9,69
1,4,10,1
1,4,10,42
1,4,10,67
1,4,10,69
2,0,0,1
2,0,0,42
2,0,0,67
2,0,0,69
2,0,1,1
2,0,1,42
2,0,1,67
2,0,1,69
2,0,2,1
2,0,2,42
2,0,2,67
2,0,2,69
2,0,3,1
2,0,3,42
2,0,3,67
2,0,3,69
2,0,4,1
2,0,4,42
2,0,4,67
2,0,4,69
2,0,5,1
2,0,5,42
2,0,5,67
2,0,5,69
2,0,6,1
2,0,6,42
2,0,6,67
2,0,6,69
2,0,7,1
2,0,7,42
2,0,7,67
2,0,7,69
2,0,8,1
2,0,8,42
2,0,8,67
2,0,8,69
2,0,9,1
2,0,9,42
2,0,9,67
2,0,9,69
2,0,10,1
2,0,10,42
2,0,10,67
2,0,10,69
2,1,0,1
2,1,0,42
2,1,0,67
2,1,0,69
2,1,1,1
2,1,1,42
2,1,1,67
2,1,1,69
2,1,2,1
2,1,2,42
2,1,2,67
2,1,2,69
2,1,3,1
2,1,3,42
2,1,3,67
2,1,3,69
2,1,4,1
2,1,4,42
2,1,4,67
2,1,4,69
2,1,5,1
2,1,5,42
2,1,5,67
2,1,5,69
2,1,6,1
2,1,6,42
2,1,6,67
2,1,6,69
2,1,7,1
2,1,7,42
2,1,7,67
2,1,7,69
2,1,8,1
2,1,8,42
2,1,8,67
2,1,8,69
2,1,9,1
2,1,9,42
2,1,9,67
2,1,9,69
2,1,10,1
2,1,10,42
2,1,10,67
2,1,10,69
2,2,0,1
2,2,0,42
2,2,0,67
2,2,0,69
2,2,1,1
2,2,1,42
2,2,1,67
2,2,1,69
2,2,2,1
2,2,2,42
2,2,2,67
2,2,2,69
2,2,3,1
2,2,3,42
2,2,3,67
2,2,3,69
2,2,4,1
2,2,4,42
2,2,4,67
2,2,4,69
2,2,5,1
2,2,5,42
2,2,5,67
2,2,5,69
2,2,6,1
2,2,6,42
2,2,6,67
2,2,6,69
2,2,7,1
2,2,7,42
2,2,7,67
2,2,7,69
2,2,8,1
2,2,8,42
2,2,8,67
2,2,8,69
2,2,9,1
2,2,9,42
2,2,9,67
2,2,9,69
2,2,10,1
2,2,10,42
2,2,10,67
2,2,10,69
2,3,0,1
2,3,0,42
2,3,0,67
2,3,0,69
2,3,1,1
2,3,1,42
2,3,1,67
2,3,1,69
2,3,2,1
2,3,2,42
2,3,2,67
2,3,2,69
2,3,3,1
2,3,3,42
2,3,3,67
2,3,3,69
2,3,4,1
2,3,4,42
2,3,4,67
2,3,4,69
2,3,5,1
2,3,5,42
2,3,5,67
2,3,5,69
2,3,6,1
2,3,6,42
2,3,6,67
2,3,6,69
2,3,7,1
2,3,7,42
2,3,7,67
2,3,7,69
2,3,8,1
2,3,8,42
2,3,8,67
2,3,8,69
2,3,9,1
2,3,9,42
2,3,9,67
2,3,9,69
2,3,10,1
2,3,10,42
2,3,10,67
2,3,10,69
2,4,0,1
2,4,0,42
2,4,0,67
2,4,0,69
2,4,1,1
2,4,1,42
2,4,1,67
2,4,1,69
2,4,2,1
2,4,2,42
2,4,2,67
2,4,2,69
2,4,3,1
2,4,3,42
2,4,3,67
2,4,3,69
2,4,4,1
2,4,4,42
2,4,4,67
2,4,4,69
2,4,5,1
2,4,5,42
2,4,5,67
